city,pref
大阪市,大阪府
名古屋市,愛知県
京都市,京都府
横浜市,神奈川県
神戸市,兵庫県
北九州市,福岡県
札幌市,北海道
川崎市,神奈川県
福岡市,福岡県
広島市,広島県
仙台市,宮城県
千葉市,千葉県
さいたま市,埼玉県
静岡市,静岡県
堺市,大阪府
新潟市,新潟県
浜松市,静岡県
岡山市,岡山県
相模原市,神奈川県
熊本市,熊本県
