"name","address","lat","lng"
"三井アウトレットパーク仙台港店","宮城県仙台市宮城野区中野三丁目7番地の2 三井アウトレットパーク仙台港2320","38.275162","140.989815"
"石巻赤十字病院店","宮城県石巻市蛇田字西道下71","38.45921","141.2797484"
"仙台パルコ２店","宮城県仙台市青葉区中央3丁目7番5号 仙台パルコ２ 1F","38.2589537","140.8796248"
"仙台市立病院店","宮城県仙台市太白区あすと長町一丁目1番1号仙台市立病院1F","38.231934","140.8884104"
"仙台泉プレミアム・アウトレット店","宮城県仙台市泉区寺岡6-1仙台泉プレミアム・アウトレット2385区","38.341572","140.8373581"
"仙台泉店","宮城県仙台市泉区大沢2-12-4 蔦屋書店仙台泉店内","38.3520265","140.8795076"
"仙台中央通り店","宮城県仙台市青葉区中央1丁目8-23　タイコヤビル1F","38.2617311","140.8795191"
"tekuteながまち店","宮城県仙台市太白区長町5丁目1-1 tekuteながまち","38.2277302","140.8857403"
"ララガーデン長町店","宮城県仙台市太白区長町7-20-5","38.2252557","140.8757038"
"古川駅店","宮城県大崎市古川駅前大通1-7-35 古川駅ショッピングセンター 「古川駅食品館ピボット」","38.5717685","140.9680297"
"三井アウトレットパーク仙台港店","宮城県仙台市宮城野区中野三丁目7番地の2 三井アウトレットパーク仙台港2320","38.275162","140.989815"
"石巻赤十字病院店","宮城県石巻市蛇田字西道下71","38.45921","141.2797484"
"仙台パルコ２店","宮城県仙台市青葉区中央3丁目7番5号 仙台パルコ２ 1F","38.2589537","140.8796248"
"仙台市立病院店","宮城県仙台市太白区あすと長町一丁目1番1号仙台市立病院1F","38.231934","140.8884104"
"仙台泉プレミアム・アウトレット店","宮城県仙台市泉区寺岡6-1仙台泉プレミアム・アウトレット2385区","38.341572","140.8373581"
"仙台泉店","宮城県仙台市泉区大沢2-12-4 蔦屋書店仙台泉店内","38.3520265","140.8795076"
"仙台中央通り店","宮城県仙台市青葉区中央1丁目8-23　タイコヤビル1F","38.2617311","140.8795191"
"東北大学医学部店","宮城県仙台市青葉区星陵町2-1東北大学医学部　星陵キャンパス内 星陵会館1F","38.27221979999999","140.8582872"
"東北大学病院店","宮城県仙台市青葉区星陵町1-1 東北大学病院内","38.272008","140.861253"
"フォンテＡＫＩＴＡ店","秋田県秋田市中通2－8－1　SC内2F","39.7165095","140.12766"
